region,prefecture,commune,population,population_partagee_avec,agences,agences_actives,agences_moov,agences_togocom,data_centers,points_mm,mm_moov,mm_togocom,mm_operateur_inconnu,population_fiable,hab_par_point_mm,points_mm_pour_10k_hab,dist_agence_km,agences_pour_100k_hab,D1_deficit_mm,D2_deficit_agences,D3_eloignement,D4_enjeu_demographique,DCPI,DCPI_rang,n_D1_deficit_mm,n_D2_deficit_agences,n_D3_eloignement,n_D4_enjeu_demographique,rang_DCPI
Plateaux,Est-Mono,Est-Mono 3,27942,,0,0,0,0,0,41,37,40,0,True,681.5121951219512,14.673251735738315,24.625027641954798,0.0,681.5121951219512,-0.0,24.625027641954798,27942,38.756573054604296,58.97435897435897,6.807699480438457,100.0,42.63969831913602,5.271693153443769,40
Kara,Binah,Binah 1,44039,,0,0,0,0,0,92,59,89,2,True,478.6847826086956,20.890574263720797,23.905528360735204,0.0,478.6847826086956,-0.0,23.905528360735204,44039,38.616576928032174,56.623931623931625,4.25713419349691,100.0,41.37079052728191,9.983695190813103,41
Kara,Dankpen,Dankpen 2,32716,,0,0,0,0,0,31,12,27,3,True,1055.354838709677,9.475486000733586,19.605684218615664,0.0,1055.354838709677,-0.0,19.605684218615664,32716,38.233368035923,61.58119658119658,11.508790214172484,100.0,33.787592214080895,6.669164590755145,42
Plateaux,Agou,Agou 2,27465,,0,0,0,0,0,50,40,39,3,True,549.3,18.20498816675769,24.42178944588719,0.0,549.3,-0.0,24.42178944588719,27465,38.14026682979263,53.675213675213676,5.1451242337796605,100.0,42.28126775871153,5.132063099904278,43
Savanes,Tône,Tône 3,60276,,0,0,0,0,0,83,66,68,1,True,726.2168674698795,13.769991373017453,17.82378850477217,0.0,726.2168674698795,-0.0,17.82378850477217,60276,37.819555618254974,64.70085470085469,7.369863065931466,100.0,30.645043757694907,14.736678795259017,44
Plateaux,Est-Mono,Est-Mono 1,34652,,0,0,0,0,0,69,48,63,6,True,502.2028985507246,19.91227057601293,23.044121810824176,0.0,502.2028985507246,-0.0,23.044121810824176,34652,37.775942767273925,54.48717948717949,4.5528757276057945,100.0,39.85161530130601,7.23588111832842,45
Kara,Bassar,Bassar 2,36476,,0,0,0,0,0,54,22,31,22,True,675.4814814814815,14.804254852505755,21.099704284765053,0.0,675.4814814814815,-0.0,21.099704284765053,36476,37.67913226967492,58.63247863247864,6.731862941992937,100.0,36.42244363451583,7.769812392240433,46
Maritime,Golfe,Golfe 7,257813,,2,2,1,1,0,777,575,659,102,True,331.8056628056628,30.138123368488014,1.4252782766710632,0.7757560712609527,331.8056628056628,-0.7757560712609527,1.4252782766710632,257813,37.63399327616979,40.47008547008547,2.410121604300363,87.87053665512083,1.72465711329714,72.56079176387593,47
Kara,Doufelgou,Doufelgou 3,28262,,0,0,0,0,0,40,22,36,2,True,706.55,14.153280022645246,20.86804556558066,0.0,706.55,-0.0,20.86804556558066,28262,37.21331108714001,57.863247863247864,7.122551182148124,100.0,36.013890684572985,5.365365306761666,48
Maritime,Golfe,Golfe 1,351550,,8,8,5,3,0,1256,1008,1093,110,True,279.89649681528664,35.72749253306784,1.2464244239360265,2.275636467074385,279.89649681528664,-2.275636467074385,1.2464244239360265,351550,36.98424271280112,30.897435897435898,1.757361135640894,64.41890674631394,1.4092307421214458,100.0,49
